exchange,coin,symbol,timestamp,best_bid,best_ask,mid_price,spread_bps
Hyperliquid,ETH,,2026-06-01T19:36:04.490031+00:00,2002.7,2002.8,2002.75,0.499313444014026
Orderly,,PERP_ETH_USDC,2026-06-01T19:36:04.833928+00:00,2001.32,2001.33,2001.3249999999998,0.049966896930737914
Hyperliquid,ETH,,2026-06-01T19:37:04.623888+00:00,2003.9,2004.0,2003.95,0.4990144464677714
Orderly,,PERP_ETH_USDC,2026-06-01T19:37:04.948837+00:00,2002.6,2002.61,2002.605,0.049934959714925835
Hyperliquid,ETH,,2026-06-01T19:38:04.745786+00:00,2003.4,2003.5,2003.45,0.499138985249989
Orderly,,PERP_ETH_USDC,2026-06-01T19:38:05.078951+00:00,2002.09,2002.1,2002.0949999999998,0.04994767980535842
Hyperliquid,ETH,,2026-06-01T19:39:04.891436+00:00,2005.8,2005.9,2005.85,0.49854176533707123
Orderly,,PERP_ETH_USDC,2026-06-01T19:39:05.776197+00:00,2004.48,2004.49,2004.4850000000001,0.049888125877673835
Hyperliquid,ETH,,2026-06-01T19:40:04.983520+00:00,2008.7,2008.8,2008.75,0.49782202862431385
Orderly,,PERP_ETH_USDC,2026-06-01T19:40:06.057796+00:00,2007.05,2007.06,2007.0549999999998,0.04982424497580239
Hyperliquid,ETH,,2026-06-01T19:41:04.987721+00:00,2006.3,2006.4,2006.35,0.4984175243608365
Orderly,,PERP_ETH_USDC,2026-06-01T19:41:05.620706+00:00,2004.72,2004.73,2004.725,0.049882153412517456
Hyperliquid,ETH,,2026-06-01T19:42:05.109373+00:00,2005.9,2006.0,2005.95,0.49851691218579247
Orderly,,PERP_ETH_USDC,2026-06-01T19:42:05.894323+00:00,2004.4,2004.41,2004.4050000000002,0.04989011701722408
Hyperliquid,ETH,,2026-06-01T19:43:05.209803+00:00,2006.2,2006.3,2006.25,0.4984423676007928
Orderly,,PERP_ETH_USDC,2026-06-01T19:43:05.962198+00:00,2004.77,2004.78,2004.775,0.0498809093289317
Hyperliquid,ETH,,2026-06-01T19:44:05.351051+00:00,2005.8,2005.9,2005.85,0.49854176533707123
Orderly,,PERP_ETH_USDC,2026-06-01T19:44:05.904079+00:00,2004.56,2004.57,2004.565,0.049886134897052
Hyperliquid,ETH,,2026-06-01T19:45:05.427323+00:00,2006.2,2006.3,2006.25,0.4984423676007928
Orderly,,PERP_ETH_USDC,2026-06-01T19:45:05.969012+00:00,2004.68,2004.69,2004.685,0.0498831487240684
Hyperliquid,ETH,,2026-06-01T19:46:05.544430+00:00,2004.5,2004.7,2004.6,0.9977052778611467
Orderly,,PERP_ETH_USDC,2026-06-01T19:46:06.053144+00:00,2003.16,2003.17,2003.165,0.04992100001742695
Hyperliquid,ETH,,2026-06-01T19:47:05.693685+00:00,2004.9,2005.1,2005.0,0.9975062344130579
Orderly,,PERP_ETH_USDC,2026-06-01T19:47:06.180529+00:00,2003.45,2003.46,2003.455,0.049913773955446494
Hyperliquid,ETH,,2026-06-01T19:48:05.835247+00:00,2004.4,2004.5,2004.45,0.4988899698167031
Orderly,,PERP_ETH_USDC,2026-06-01T19:48:06.420316+00:00,2002.99,2003.0,2002.995,0.04992523695761051
Hyperliquid,ETH,,2026-06-01T19:49:05.980327+00:00,2004.7,2004.8,2004.75,0.4988153136296748
Orderly,,PERP_ETH_USDC,2026-06-01T19:49:06.889181+00:00,2003.19,2003.2,2003.1950000000002,0.049920252396750714
Hyperliquid,ETH,,2026-06-01T19:50:06.121073+00:00,2003.4,2003.5,2003.45,0.499138985249989
